V,pH,ΔV,ΔpH
0.0,2.31,0.0,0.0
0.5,2.35,0.5,0.040000000000000036
1.0,2.39,0.5,0.040000000000000036
1.5,2.46,0.5,0.06999999999999984
2.0,2.53,0.5,0.06999999999999984
2.5,2.61,0.5,0.08000000000000007
3.0,2.72,0.5,0.11000000000000032
3.5,2.85,0.5,0.1299999999999999
4.0,3.03,0.5,0.17999999999999972
4.5,3.31,0.5,0.28000000000000025
5.0,4.31,0.5,0.9999999999999996
5.5,5.91,0.5,1.6000000000000005
6.0,6.27,0.5,0.35999999999999943
6.5,6.49,0.5,0.22000000000000064
7.0,6.68,0.5,0.1899999999999995
7.5,6.85,0.5,0.16999999999999993
8.0,7.01,0.5,0.16000000000000014
8.5,7.11,0.5,0.10000000000000053
9.0,7.29,0.5,0.17999999999999972
9.5,7.5,0.5,0.20999999999999996
10.0,7.78,0.5,0.28000000000000025
10.5,8.25,0.5,0.46999999999999975
11.0,9.48,0.5,1.2300000000000004
11.5,10.16,0.5,0.6799999999999997
12.0,10.57,0.5,0.41000000000000014
13.0,10.96,1.0,0.39000000000000057
14.0,11.23,1.0,0.2699999999999996
15.0,11.34,1.0,0.10999999999999943
16.0,11.46,1.0,0.120000000000001
17.0,11.52,1.0,0.05999999999999872
18.0,11.63,1.0,0.11000000000000121
19.0,11.7,1.0,0.06999999999999851
20.0,11.74,1.0,0.040000000000000924
21.0,11.79,1.0,0.049999999999998934
22.0,11.83,1.0,0.040000000000000924
23.0,11.86,1.0,0.02999999999999936
24.0,11.88,1.0,0.02000000000000135
25.0,11.91,1.0,0.02999999999999936
26.0,11.95,1.0,0.03999999999999915
